year,date,opponent,link
1982,29/04/1982,Clifton Hill House,../1982/clifton-hill-house
1982,06/05/1982,A Good Length,../1982/a-good-length
1982,08/05/1982,Another Man’s Meat,../1982/another-mans-meat
1982,13/05/1982,Bristol Grammar School III,../1982/bristol-grammar-school
1982,07/06/1982,J Stimfig’s XI,../1982/j-stimfigs-xi
1982,10/06/1982,Wills Hall,../1982/wills-hall
1982,12/06/1982,Leyhill,../1982/leyhill
1982,14/06/1982,Young Solicitors,../1982/bristol-young-solicitors
1982,15/06/1982,Lobsters,../1982/lobsters
1982,16/06/1982,A Good Length,../1982/a-good-length
1982,17/06/1982,Clifton College XI,../1982/clifton-college
